  global_epoch_ids  |  program_names  |        graph_name        |                 warnings                |                                op_name                                 |  first_to_last_input  |  grid_size  |  kernel_total_runtime  |  kernel_runtime_per_input  |  model_runtime_per_input  |  kernel_math_utilization  |  model_math_utilization  
====================================================================================================================================================================================================================================================================================================================================================================
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                             mha_1_as_softmax.dc.exp.0  |                 0->0  |     [1, 1]  |                114171  |                    114171  |                   113920  |                    82.96  |                   83.15  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                              ff1_gelu  |                 0->0  |     [1, 1]  |                 17999  |                     17999  |                    17370  |                    48.36  |                   50.11  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                              ff_1_ff1  |                 0->0  |     [1, 1]  |                 17417  |                     17417  |                    17420  |                    73.49  |                   73.48  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                      mha_1_as_softmax.dc.reciprocal.2  |                 0->0  |     [1, 1]  |                 14896  |                     14896  |                    14688  |                    73.04  |                   74.07  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                              ff_1_ff2  |                 0->0  |     [1, 1]  |                 14791  |                     14791  |                    14491  |                    83.94  |                   85.68  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                              mha_1_as  |                 0->0  |     [1, 1]  |                  8150  |                      8150  |                     6388  |                    37.69  |                   48.09  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                        mha_1_as_softmax.dc.multiply.3  |                 0->0  |     [1, 1]  |                  7477  |                      7477  |                    14093  |                    20.54  |                    10.9  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                         mha_1_as_mask  |                 0->0  |     [1, 1]  |                  6040  |                      6040  |                     8223  |                     8.48  |                    6.23  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                         ff_1_ff1.bias  |                 0->0  |     [1, 1]  |                  5784  |                      5784  |                     8223  |                     8.85  |                    6.23  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                          mha_1_as_div  |                 0->0  |     [1, 1]  |                  5631  |                      5631  |                    10541  |                    27.28  |                   14.57  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                      norm_mha_1_recip  |                 0->0  |     [1, 1]  |                  3999  |                      3999  |                     3648  |                    68.02  |                   74.56  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                       norm_ff_0_recip  |                 0->0  |     [1, 1]  |                  3989  |                      3989  |                     3648  |                    68.19  |                   74.56  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                       norm_ff_1_recip  |                 0->0  |     [1, 1]  |                  3987  |                      3987  |                     3648  |                    68.22  |                   74.56  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                              mha_1_ac  |                 0->0  |     [1, 1]  |                  3958  |                      3958  |                     3778  |                    77.61  |                   81.31  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                           mha_1_value  |                 0->0  |     [1, 1]  |                  3934  |                      3934  |                     4044  |                    78.09  |                   75.96  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                  mha_1_as_softmax.dc.reduce_sum.1.lc1  |                 0->0  |     [1, 1]  |                  3902  |                      3902  |                     3778  |                    78.73  |                   81.31  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                       norm_mha_1_sqrt  |                 0->0  |     [1, 1]  |                  3878  |                      3878  |                     3648  |                    67.25  |                   71.49  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                        norm_ff_1_sqrt  |                 0->0  |     [1, 1]  |                  3878  |                      3878  |                     3648  |                    67.25  |                   71.49  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                        norm_ff_0_sqrt  |                 0->0  |     [1, 1]  |                  3875  |                      3875  |                     3648  |                     67.3  |                   71.49  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                             mha_1_key  |                 0->0  |     [1, 1]  |                  3837  |                      3837  |                     4044  |                    80.06  |                   75.96  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                           mha_1_query  |                 0->0  |     [1, 1]  |                  3779  |                      3779  |                     3618  |                    81.29  |                   84.91  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                          mha_1_output  |                 0->0  |     [1, 1]  |                  3721  |                      3721  |                     3618  |                    82.56  |                   84.91  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                        mha_1_key.bias  |                 0->0  |     [1, 1]  |                  3010  |                      3010  |                     5335  |                     4.25  |                     2.4  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                      mha_1_query.bias  |                 0->0  |     [1, 1]  |                  3008  |                      3008  |                     5335  |                     4.26  |                     2.4  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                              add_ff_1  |                 0->0  |     [1, 1]  |                  2081  |                      2081  |                     3461  |                     6.15  |                     3.7  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                             add_mha_1  |                 0->0  |     [1, 1]  |                  2054  |                      2054  |                     3461  |                     6.23  |                     3.7  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                         norm_ff_0_sub  |                 0->0  |     [1, 1]  |                  2043  |                      2043  |                     3462  |                     6.27  |                     3.7  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                         norm_ff_1_sub  |                 0->0  |     [1, 1]  |                  2040  |                      2040  |                     3462  |                     6.27  |                     3.7  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                      mha_1_value.bias  |                 0->0  |     [1, 1]  |                  2033  |                      2033  |                     3461  |                      6.3  |                     3.7  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                     norm_ff_1_weights  |                 0->0  |     [1, 1]  |                  2025  |                      2025  |                     3523  |                    18.96  |                    10.9  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                      norm_ff_1_output  |                 0->0  |     [1, 1]  |                  2021  |                      2021  |                     3523  |                       19  |                    10.9  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                        norm_mha_1_sub  |                 0->0  |     [1, 1]  |                  2000  |                      2000  |                     3462  |                      6.4  |                     3.7  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                        norm_ff_1_bias  |                 0->0  |     [1, 1]  |                  1746  |                      1746  |                     2055  |                     7.33  |                    6.23  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                     mha_1_output.bias  |                 0->0  |     [1, 1]  |                  1738  |                      1738  |                     2055  |                     7.36  |                    6.23  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                         ff_1_ff2.bias  |                 0->0  |     [1, 1]  |                  1737  |                      1737  |                     2055  |                     7.37  |                    6.23  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                          norm_ff_1_sq  |                 0->0  |     [1, 1]  |                  1735  |                      1735  |                     2191  |                    22.13  |                   17.53  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                       norm_mha_1_bias  |                 0->0  |     [1, 1]  |                  1710  |                      1710  |                     2055  |                     7.49  |                    6.23  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                          norm_ff_0_sq  |                 0->0  |     [1, 1]  |                  1707  |                      1707  |                     2191  |                     22.5  |                   17.53  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                         norm_mha_1_sq  |                 0->0  |     [1, 1]  |                  1685  |                      1685  |                     2191  |                    22.79  |                   17.53  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                        norm_ff_0_bias  |                 0->0  |     [1, 1]  |                  1683  |                      1683  |                     2055  |                     7.61  |                    6.23  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |  << BW for some pipes not measured. >>  |                                                    norm_mha_1_weights  |                 0->0  |     [1, 1]  |                  1650  |                      1650  |                     2635  |                    23.27  |                   14.57  
               [2]  |    ['run_fwd']  |  fwd_2_temporal_epoch_1  |                                         |                                                      norm_ff_0_output  |                 0->0  |     [1, 1]  |                  1617  |                      1617  |                     2635  |                    23.75  |                   14.57  
